sitear	neighbourhood	organisat	governorateor	districtor	photo	environment	governorate	district	phone	householdnum	household	men	women	boys	girls	individual	water_access	water_quality	electric	openelement	damage	hazards	mines	fighting	geo	Improvised_Shelter	Tent	Individual_mud_building	Individual_mix_building	Individual_concrete_building	Shop	Apartment_block	Under_construction	opensite	abandonned	unfinished	class	accom	cluster	scoreclass	longitude	latitude
„Õ·… ‰ÌÃÌ—	ﬁ—Ì… „”Ì—Ìﬂ	harikar	Dahuk	Sumel	1413100761206.jpg	city_centre	Dahuk	Sumel	7503046793	d. 6-7	10	15	20	12	15	62	3.Minor	3.Minor	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"36.8611383867478,42.8349854098651"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	3.Medium	42.83498541	36.86113839
„Õ·… ‰ÌÃÌ—	„ﬁ«»· „” ‘›Ï ﬂÊ?‰	harikar	Dahuk	Sumel	1413101345903.jpg	city_centre	Dahuk	Sumel	7507948139	e. 8-10	14	22	35	19	22	98	3.Minor	3.Minor	2.Moderate	1.Major	4.None	4.None	4.None	4.None	"36.8612966914428,42.8356757830204"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	3.Medium	42.83567578	36.86129669
„Õ· œ«ÊÊœ	ﬂÊ?‰ ﬁ—» „Õÿ… «·ﬂÂ—»«¡	harikar	Dahuk	Sumel	1413100498332.jpg	city_suburb	Dahuk	Sumel	7503044737	5-Apr	10	8	10	13	10	41	3.Minor	3.Minor	4.None	4.None	4.None	4.None	4.None	4.None	"36.867373811977,42.8328364337689"	0	0	0	0	0	1	0	0	No	Yes	No	a. 0-49	 Shop 	Cluster 1	4.Low	42.83283643	36.86737381
»‰«∆… €Ì— „ﬂ „·Â	“—Ì‰ 	harikar	Dahuk	Sumel	1413102618986.jpg	isolated	Dahuk	Sumel	7507481303	5-Apr	10	8	12	5	6	31	4.None	4.None	3.Minor	4.None	4.None	4.None	4.None	3.Minor	"36.8558841373828,42.8314678382707"	0	0	0	0	0	0	0	0	Yes	No	No	a. 0-49	 Open 	Cluster 3	4.Low	42.83146784	36.85588414
ÂÌﬂ· —«∆œ	›—«‘Ì‰	frc	Dahuk	Sumel	1413096589333.jpg	city_centre	Dahuk	Sumel	7501625125	d. 6-7	28	48	46	39	35	168	3.Minor	3.Minor	4.None	1.Major	3.Minor	4.None	4.None	4.None	"36.8550208795928,42.8505672503395"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 1	2.High	42.85056725	36.85502088
—Ê÷… «ÿ›«·	‘ÂÌœ«‰	frc	Dahuk	Sumel	1413104118382.jpg	city_centre	Dahuk	Sumel	7503245813	d. 6-7	67	90	80	130	150	450	3.Minor	2.Moderate	3.Minor	1.Major	2.Moderate	4.None	4.None	4.None	"36.8511245100948,42.8542279957706"	0	0	0	0	0	0	0	1	No	No	Yes	d. 250-499	Unfinished 	Cluster 2	3.Medium	42.854228	36.85112451
ÂÌﬂ· «—‘œ	‘ÂÌœ«‰	frc	Dahuk	Sumel	1413104268474.jpg	city_centre	Dahuk	Sumel	7503218403	5-Apr	10	11	9	17	10	47	4.None	4.None	3.Minor	2.Moderate	3.Minor	4.None	4.None	4.None	"36.8513634764933,42.8476683302549"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.84766833	36.85136348
ÂÌﬂ· ‰›Ê”	Œ»« 	frc	Dahuk	Sumel	1413111783869.jpg	city_centre	Dahuk	Sumel	7507287789	d. 6-7	33	50	50	50	46	196	3.Minor	3.Minor	3.Minor	2.Moderate	3.Minor	4.None	4.None	4.None	"36.8592782480724,42.8523108446601"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 1	3.Medium	42.85231084	36.85927825
‰«›‰œ« ·«Ê«‰	Œ»« 	frc	Dahuk	Sumel	1413112224294.jpg	city_centre	Dahuk	Sumel	7507856620	5-Apr	16	14	19	7	15	55	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.8587890055697,42.8521254983381"	0	0	1	0	0	0	0	0	No	Yes	No	b. 50-99	 Mix 	Cluster 1	5.None	42.8521255	36.85878901
Basha Nawkhoyee Shahidan Kuran	Shahidan	iom	Erbil	Koisnjaq	1413291747230.jpg	town	Erbil	Koisnjaq	7800195803	5-Apr	12	12	15	12	13	52	1.Major	4.None	4.None	3.Minor	4.None	3.Minor	4.None	4.None	"36.0774219787601,44.6267194935296"	0	0	0	0	0	0	1	0	No	Yes	No	b. 50-99	 Appart	Cluster 1	3.Medium	44.62671949	36.07742198
128	‘„«” ‘Ê«‰	iom	Erbil	Erbil	1413455396136.jpg	city_suburb	Erbil	Erbil	7504558660	5-Apr	150	192	200	71	47	510	3.Minor	3.Minor	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.2353186768699,44.0114628524182"	0	0	0	0	0	0	1	0	No	Yes	No	e. 500-2000	 Appart	Cluster 1	3.Medium	44.01146285	36.23531868
‰“«—ﬂÌ ÃœÌœ…	 ‘ﬁﬁ ‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413108865743.jpg	city_suburb	Dahuk	Dahuk	7503323844	d. 6-7	16	25	22	17	18	82	1.Major	1.Major	3.Minor	1.Major	1.Major	4.None	4.None	4.None	"36.8451976318768,43.0579132480155"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	1.Extreme	43.05791325	36.84519763
‰“«—ﬂÌ ÃœÌœ…	‘ﬁﬁ ‰“«—ﬂÌ 	unhcr	Dahuk	Dahuk	1413110175945.jpg	city_suburb	Dahuk	Dahuk	7503026150	e. 8-10	11	22	13	30	25	90	1.Major	1.Major	1.Major	1.Major	1.Major	4.None	4.None	4.None	"36.8457864090579,43.0585508943494"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	1.Extreme	43.05855089	36.84578641
‰“«—ﬂÌ ÃœÌœ…	‘ﬁﬁ ‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413111980501.jpg	city_suburb	Dahuk	Dahuk	7507984146	d. 6-7	18	26	30	20	33	109	1.Major	1.Major	2.Moderate	1.Major	1.Major	4.None	4.None	4.None	"36.8446082167587,43.0571278235286"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 2	1.Extreme	43.05712782	36.84460822
Kevla	Zirka	reach	Dahuk	Dahuk	1413097841389.jpg	city_centre	Dahuk	Sumel	7503040914	d. 6-7	10	12	13	18	15	58	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8889235507963,42.921428267179"	0	0	0	1	0	0	0	0	No	Yes	No	b. 50-99	 Concrete 	Cluster 1	5.None	42.92142827	36.88892355
Masek 2	Malta	reach	Dahuk	Dahuk	1413107962360.jpg	city_centre	Dahuk	Dahuk	7504396149	d. 6-7	15	12	15	30	25	82	4.None	4.None	4.None	3.Minor	4.None	4.None	4.None	4.None	"36.8759086727258,42.9489053668347"	0	0	0	0	0	1	0	0	No	Yes	No	b. 50-99	 Shop 	Cluster 1	4.Low	42.94890537	36.87590867
ﬂÌ›·«	“—ﬂ«	reach	Dahuk	Dahuk	1413098287938.jpg	city_centre	Dahuk	Sumel	7501668321	e. 8-10	11	15	16	30	35	96	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8889675416823,42.9222532758948"	0	0	1	0	0	0	0	0	No	Yes	No	b. 50-99	 Mix 	Cluster 1	5.None	42.92225328	36.88896754
„«”Ìﬂ 2	„«· «	reach	Dahuk	Dahuk	1413108739823.jpg	city_centre	Dahuk	Dahuk	7503246083	e. 8-10	11	15	18	25	22	80	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8789337844919,42.9500731958818"	0	0	0	0	0	1	0	0	No	Yes	No	b. 50-99	 Shop 	Cluster 1	5.None	42.9500732	36.87893378
ﬂÌ›·«	“—ﬂ«	reach	Dahuk	Dahuk	1413096987742.jpg	city_centre	Dahuk	Sumel	7504218463	d. 6-7	23	30	35	36	30	131	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8865830627351,42.9220877535313"	0	0	0	1	0	0	0	0	No	Yes	No	c. 100-249	 Concrete 	Cluster 1	5.None	42.92208775	36.88658306
“—ﬂ« 	„«”ÌﬂÂ	reach	Dahuk	Dahuk	1413100461142.jpg	city_centre	Dahuk	Dahuk	7508386145	d. 6-7	35	44	52	67	62	225	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.878681362145,42.9282162106882"	0	0	0	0	0	1	0	0	No	Yes	No	c. 100-249	 Shop 	Cluster 1	5.None	42.92821621	36.87868136
ﬂ—«Ã «·”Ì«—« 	Takha nasara	drc	Dahuk	Zakho	1413203989930.jpg	city_centre	Dahuk	Zakho	7503120426	f. >10	52	140	150	120	110	520	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.142838165164,42.6790274586529"	0	0	0	0	0	0	0	1	No	No	Yes	e. 500-2000	Unfinished 	Cluster 1	5.None	42.67902746	37.14283817
999	»Ìœ«—	frc	Dahuk	Zakho	1414052572248.jpg	city_centre	Dahuk	Zakho	7504434480	d. 6-7	90	112	113	147	153	525	3.Minor	2.Moderate	4.None	2.Moderate	3.Minor	4.None	4.None	4.None	"37.1586437316434,42.6658995385332"	0	0	0	0	0	0	1	1	No	Yes	Yes	e. 500-2000	Unfinished Appart	Cluster 1	3.Medium	42.66589954	37.15864373
»Ìœ«—	”Ì„«·„«	iom	Dahuk	Zakho	1413713266849.jpg	city_centre	Dahuk	Zakho	7508208408	d. 6-7	89	115	109	156	152	532	3.Minor	2.Moderate	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"37.1583668127367,42.6657577217999"	0	0	0	0	0	1	1	0	No	Yes	No	e. 500-2000	 Shop Appart	Cluster 1	4.Low	42.66575772	37.15836681
”Ì‰Ê—	ﬂÊÃﬂ«ÂÊ‰Â —Ì	unhcr	Dahuk	Zakho	1413112052177.jpg	town	Dahuk	Zakho	7508412562	d. 6-7	11	15	13	13	17	58	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.1646332490608,42.7092897207579"	0	0	0	1	0	0	0	0	No	Yes	No	b. 50-99	 Concrete 	Cluster 1	5.None	42.70928972	37.16463325
ﬂ”ﬂ	„Õÿ… «·ﬂÂ—»«¡	harikar	Dahuk	Sumel	1413184142467.jpg	city_centre	Dahuk	Sumel	7507287771	f. >10	5	11	13	15	16	55	2.Moderate	2.Moderate	2.Moderate	1.Major	4.None	4.None	4.None	4.None	"36.8634407098901,42.8345431897001"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	3.Medium	42.83454319	36.86344071
Â·»Ì‰ 	ﬁ—» œ«∆—… «·—⁄«Ì… 	harikar	Dahuk	Sumel	1413184668453.jpg	city_centre	Dahuk	Sumel	7708658643	5-Apr	7	6	8	8	5	27	2.Moderate	3.Minor	4.None	3.Minor	4.None	4.None	4.None	4.None	"36.8632343345415,42.8378092884263"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	3.Medium	42.83780929	36.86323433
»ÌŒ«·	œ«∆—… «·œ⁄«Ì…	harikar	Dahuk	Sumel	1413185234423.jpg	city_centre	Dahuk	Sumel	7507856938	d. 6-7	6	7	8	9	8	32	3.Minor	1.Major	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"36.8637735162115,42.836731587424"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	3.Medium	42.83673159	36.86377352
„‘—Ê⁄ «·„Ì«Â	ÕÌ «“«œÌ	harikar	Dahuk	Sumel	1413185948083.jpg	city_centre	Dahuk	Sumel	7507954708	d. 6-7	7	15	7	7	9	38	4.None	3.Minor	4.None	4.None	3.Minor	4.None	4.None	4.None	"36.8538611536903,42.8353631495008"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.83536315	36.85386115
‰“«—ﬂÌ/ „ﬁ«»· „—ﬂ“ ‘—ÿ… ‰“«—ﬂÌ 	‘ﬁﬁ ‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413185978795.jpg	city_suburb	Dahuk	Dahuk	7816936001	e. 8-10	9	9	9	35	20	73	4.None	4.None	4.None	3.Minor	3.Minor	4.None	4.None	4.None	"36.843116262206,43.057423612707"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	4.Low	43.05742361	36.84311626
»‰«¡ €Ì— „ﬂ „· ›Ì ‰“«—ﬂÌ «·ÃœÌœ…	‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413189303882.jpg	city_suburb	Dahuk	Dahuk	7507419070	e. 8-10	6	7	15	14	15	51	1.Major	1.Major	1.Major	4.None	4.None	4.None	4.None	4.None	"36.836843646154,43.0637131536276"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	3.Medium	43.06371315	36.83684365
»‰«¡ €Ì— „ﬂ „· ›Ì ‰“«—ﬂÌ ÃœÌœ…	‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413190655505.jpg	city_suburb	Dahuk	Dahuk	7510450607	d. 6-7	5	7	8	7	8	30	4.None	4.None	1.Major	4.None	4.None	4.None	4.None	4.None	"36.8370070530594,43.0629480958824"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	5.None	43.0629481	36.83700705
Ankawa hall	œÂ —ﬂ«	iom	Erbil	Erbil	1413188869390.jpg	city_suburb	Erbil	Erbil	7510618114	5-Apr	60	71	61	39	49	220	2.Moderate	2.Moderate	3.Minor	4.None	4.None	4.None	4.None	4.None	"36.2331914195646,43.9871840725361"	0	0	0	0	0	1	0	0	No	Yes	No	c. 100-249	 Shop 	Cluster 2	4.Low	43.98718407	36.23319142
»‰«¡ €Ì— „ﬂ „· ›Ì ‰“«—ﬂÌ ÃœÌœ…	‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413191480724.jpg	city_suburb	Dahuk	Dahuk	7503097116	d. 6-7	8	12	12	8	10	42	3.Minor	3.Minor	3.Minor	1.Major	4.None	4.None	4.None	4.None	"36.8373883880226,43.0635274991522"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	3.Medium	43.0635275	36.83738839
»‰«¡ €Ì— „ﬂ „· ›Ì ‰“«—ﬂÌ ÃœÌœ…	‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413192971892.jpg	city_suburb	Dahuk	Dahuk	7507262445	d. 6-7	7	7	15	9	7	38	1.Major	1.Major	1.Major	4.None	4.None	4.None	4.None	4.None	"36.8407375998001,43.0654857712769"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	3.Medium	43.06548577	36.8407376
»‰«¡ €Ì— „ﬂ „· ›Ì ‰“«—ﬂÌ	‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413194340785.jpg	city_suburb	Dahuk	Dahuk	7507963974	d. 6-7	7	7	7	11	15	40	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	4.None	"36.8420777465985,43.0651786610343"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	5.None	43.06517866	36.84207775
»‰«¡ €Ì— „ﬂ „· ›Ì ‰“«—ﬂÌ	‰“«—ﬂÌ	unhcr	Dahuk	Dahuk	1413197023478.jpg	city_suburb	Dahuk	Dahuk	7503092053	d. 6-7	14	23	14	25	17	79	1.Major	1.Major	1.Major	4.None	4.None	4.None	4.None	4.None	"36.8414781761426,43.0482006851778"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	3.Medium	43.04820069	36.84147818
